run_name,degree,intermediate_knots,metric,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p100
temp,3,2,frames_inclusive,20263,7.823027192419681,6.523780239049547,4.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,21.0,32.0,48.0,125.0
temp,3,3,frames_inclusive,20253,10.078358761664939,7.70542385203482,5.0,5.0,5.0,5.0,5.0,5.0,7.0,12.0,26.0,38.0,56.49600000000646,126.0
temp,3,7,frames_inclusive,20213,19.104635630534805,12.099542805927548,9.0,9.0,9.0,9.0,9.0,10.0,15.0,24.0,44.0,60.0,83.0,130.0
temp,3,9,frames_inclusive,20193,23.623186252661814,14.062973987361715,11.0,11.0,11.0,11.0,11.0,13.0,19.0,30.0,53.0,70.0,95.4240000000027,132.0
temp,3,11,frames_inclusive,20173,28.145144500074355,15.867653664025333,13.0,13.0,13.0,13.0,13.0,16.0,23.0,36.0,61.0,78.0,107.0,137.0
temp,3,15,frames_inclusive,20133,37.20220533452541,19.029612507670247,17.0,17.0,17.0,17.0,17.0,22.0,32.0,48.0,75.0,94.0,121.0,141.0
temp,3,29,frames_inclusive,19993,69.05101785624969,26.68938386724684,31.0,31.0,31.0,31.0,36.0,48.0,66.0,86.0,117.39999999999782,145.0,164.00800000000163,176.0
temp,3,44,frames_inclusive,19843,103.45149422970317,32.41774589035154,46.0,46.0,46.0,50.0,61.0,81.0,101.0,124.0,161.0,186.0,211.15800000000309,242.0
temp,3,49,frames_inclusive,19793,114.9813570454201,34.363409912653125,51.0,51.0,51.0,57.0,71.0,91.0,113.0,138.0,174.0,200.0,224.0,254.0
temp,3,63,frames_inclusive,19653,147.42136060652317,39.80560796064598,65.0,65.0,66.0,81.0,98.0,120.0,146.0,174.0,216.0,245.0,269.0,298.0
